date,share_code,number_of_shares,domestic_cp_lt_5_raw,domestic_cp_gte_5_raw,domestic_fd_lt_5_raw,domestic_fd_gte_5_raw,domestic_ib_lt_5_raw,domestic_ib_gte_5_raw,domestic_id_lt_5_raw,domestic_id_gte_5_raw,domestic_is_lt_5_raw,domestic_is_gte_5_raw,domestic_mf_lt_5_raw,domestic_mf_gte_5_raw,domestic_ot_lt_5_raw,domestic_ot_gte_5_raw,domestic_pf_lt_5_raw,domestic_pf_gte_5_raw,domestic_sc_lt_5_raw,domestic_sc_gte_5_raw,foreign_cp_lt_5_raw,foreign_cp_gte_5_raw,foreign_fd_lt_5_raw,foreign_fd_gte_5_raw,foreign_ib_lt_5_raw,foreign_ib_gte_5_raw,foreign_id_lt_5_raw,foreign_id_gte_5_raw,foreign_is_lt_5_raw,foreign_is_gte_5_raw,foreign_mf_lt_5_raw,foreign_mf_gte_5_raw,foreign_ot_lt_5_raw,foreign_ot_gte_5_raw,foreign_pf_lt_5_raw,foreign_pf_gte_5_raw,foreign_sc_lt_5_raw,foreign_sc_gte_5_raw,total_scripless_raw
31-Mar-2026,AMOR,2.222.222.400,62.509.800,289.921.600,,,,,95.933.000,385.200.000,8.621.400,0,,,,,,,27.264.100,0,,,,,3.661.900,0,1.865.300,0,10.730.454,0,1.088.100,0,719.846,0,,,586.900,0,888.102.400
31-Mar-2026,AMRT,41.524.501.700,1.145.735.575,21.980.327.759,7.660.900,0,,,3.878.828.790,0,349.007.700,0,279.876.101,0,,,48.331.900,0,1.853.780,0,4.180.393.715,0,7.000.400,0,427.754.712,0,3.317.200,0,70.126.434,0,5.619.942.259,0,1.476.086.295,0,1.910.907.313,0,137.350.867,0,41.524.501.700
31-Mar-2026,ANDI,9.350.000.000,117.484.313,699.970.000,110.879,0,,,2.572.850.616,0,20.585.655,0,1.017.794.267,0,26,0,563.700,0,266.762.055,0,,,,,5.100,0,3.821.589,0,,,,,,,,,21.800,0,4.699.970.000
31-Mar-2026,ANJT,3.354.175.000,83.097.105,0,,,,,52.979.181,0,,,100,0,,,,,,,0,3.217.218.477,,,316.800,0,250.937,0,,,,,,,,,312.400,0,3.354.175.000
31-Mar-2026,ANTM,24.030.764.725,61.057.801,0,15.848.551,0,3.500.012,0,1.830.158.728,0,664.802.015,0,754.758.883,0,937.467,0,128.118.759,0,12.365.569,0,259.880.019,0,92.123.800,0,557.316.020,0,15.485.057,0,94.378.640,0,2.077.024.614,0,744.155.300,0,985.705.625,0,75.554.632,0,8.373.171.492
31-Mar-2026,APEX,3.546.466.661,162.464.377,1.126.374.177,,,,,930.754.513,0,,,,,,,,,61.548.039,0,88.385.049,220.767.550,,,78.517.930,0,27.760.567,0,,,,,,,,,824.287,771.356.500,3.468.752.989
31-Mar-2026,APIC,11.766.313.488,3.880.918.730,4.380.017.387,2.300.000,0,,,555.899.105,0,109.496.000,0,491.378.475,0,,,86.328.700,0,595.902.025,0,564.560.413,0,,,387.490.077,0,250,0,6.068.800,0,87.099.576,0,531.075.073,0,85.091.429,0,2.687.448,0,11.766.313.488
31-Mar-2026,APII,1.075.760.000,1.656.100,0,,,,,22.156.700,0,,,,,,,,,,,,,,,2.511.300,0,70.243.800,0,,,,,142.971.000,0,,,35.085.100,0,274.624.000
31-Mar-2026,APLI,1.362.671.400,15.437.400,201.304.000,,,,,156.667.152,388.333.748,,,,,,,,,165.000,0,,,,,89.400,0,85.000,0,,,,,,,,,488.700,0,762.570.400
31-Mar-2026,APLN,22.699.326.779,235.046.050,18.777.785.148,700.000,0,,,3.107.395.216,0,5.283.600,0,,,390.000,0,1.150.000,0,166.278.720,0,5.430.891,0,,,343.775.493,0,28.171.600,0,,,232.900,0,4.586.600,0,15.084.800,0,8.015.761,0,22.699.326.779
